test (qr_omp): OK

size 	proc_count	time (s.)
---------------------------------
256  	         1	0.001412
256  	         2	0.001183
256  	         4	0.001040
256  	         8	0.001654

512  	         1	0.009790
512  	         2	0.006710
512  	         4	0.005060
512  	         8	0.005978

1024 	         1	0.073620
1024 	         2	0.043786
1024 	         4	0.029649
1024 	         8	0.029973

2048 	         1	0.583894
2048 	         2	0.334653
2048 	         4	0.207924
2048 	         8	0.199152

