size 	proc_count	time (s.)
---------------------------------
256  	         1	0.079406
256  	         2	0.042069
256  	         4	0.026699
256  	         8	0.033582
256  	        16	0.063936
256  	        32	0.097328
256  	        64	0.202797

512  	         1	0.320669
512  	         2	0.196800
512  	         4	0.093096
512  	         8	0.111797
512  	        16	0.267935
512  	        32	0.277627
512  	        64	0.403038

1024 	         1	1.382017
1024 	         2	0.743127
1024 	         4	0.396676
1024 	         8	0.455002
1024 	        16	0.563345
1024 	        32	0.724399
1024 	        64	1.309174

2048 	         1	6.524269
2048 	         2	3.607301
2048 	         4	1.971679
2048 	         8	2.348835
2048 	        16	2.363304
2048 	        32	2.930803
2048 	        64	4.468452

